"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1923900123882586560","Sun May 18 00:35:08 +0000 2025","0","Kenapa AI hrus ditekankan etika penggunaannya? Karena AI ini awalnya lahir di lingkup ilmuwan. Jadi masih dlm tahap ujicoba fail-safe ibaratnya mah. Masalahnya apa? Ilmuwan pun masih bingung belum 100% paham AI. Emg science isn't excatly an exact science but still..","1923900123882586560","","","in","","0","0","0","https://x.com/retardeus/status/1923900123882586560","273549006","retardeus"
"1923790443034116494","Sat May 17 17:19:18 +0000 2025","0","#AInews Beberapa pihak telah menemukan cara yang lebih halus untuk menipu kecerdasan buatan (AI) agar memberikan respons yang bermasalah. Hal ini menunjukkan tantangan yang terus berkembang dalam keamanan dan etika penggunaan AI. #AsistenAI","1923790443034116494","","","in","","0","0","0","https://x.com/AsistenAI/status/1923790443034116494","1627580091034406912","AsistenAI"
"1923645506359533575","Sat May 17 07:43:22 +0000 2025","0","#AInews Beberapa pihak telah menemukan cara yang lebih halus untuk menipu AI agar memberikan respons yang bermasalah. Ini menunjukkan tantangan dalam memastikan keamanan dan etika penggunaan teknologi AI. #AsistenAI","1923645506359533575","","","in","","0","0","0","https://x.com/AsistenAI/status/1923645506359533575","1627580091034406912","AsistenAI"
"1923603672044535931","Sat May 17 04:57:08 +0000 2025","0","Komdigi minta Dewan Pers tingkatkan etika jurnalistik dan jaga kualitas informasi di era digital dan AI guna lindungi independensi media dan demokrasi. Simak Selengkapnya Disini https://t.co/Qb5e954WAz https://t.co/k7Z9LmP196","1923603672044535931","https://pbs.twimg.com/media/GrIDRsaXcAApt4l.jpg","","in","","0","0","0","https://x.com/MPN_Indonesia/status/1923603672044535931","483100064","MPN_Indonesia"
"1923356170623889673","Fri May 16 12:45:44 +0000 2025","0","@adieumeteur Oke ka Yuji paham kok maksudnya. emang AI punya sisi kontroversial soal etika apalagi soal hak cipta. aku sendiri pakai cuma buat seru-seruan aja bukan buat nyontek gaya siapa pun atau dijual. But thanks for the reminder.","1923359209808138446","","adieumeteur","in","","0","1","0","https://x.com/itsjdpp/status/1923359209808138446","1279322729959710722","itsjdpp"
"1923219850542854295","Fri May 16 03:32:01 +0000 2025","0","Menkomdigi Minta Dewan Pers Jaga Etika dan Kualitas Jurnalisme Sobatkom Di tengah gempuran informasi digital dan pesatnya perkembangan teknologi AI tantangan dunia jurnalistik semakin kompleks. Menkomdigi Meutya Hafid menegaskan peran penting Dewan Pers dalam menjaga etika https://t.co/M6JQDq0Mjd","1923219863495114967","https://pbs.twimg.com/media/GrCmRNkaAAM69fJ.jpg","kemkomdigi","in","","0","4","1","https://x.com/kemkomdigi/status/1923219863495114967","177848697","kemkomdigi"
"1923219850542854295","Fri May 16 03:31:58 +0000 2025","0","Menkomdigi Minta Dewan Pers Jaga Etika dan Kualitas Jurnalisme Sobatkom Di tengah gempuran informasi digital dan pesatnya perkembangan teknologi AI tantangan dunia jurnalistik semakin kompleks. https://t.co/yx0Fnf5LGj","1923219850542854295","https://pbs.twimg.com/media/GrCmQfMaAAEkSYq.jpg","","in","","0","36","1","https://x.com/kemkomdigi/status/1923219850542854295","177848697","kemkomdigi"
"1923021857696923654","Thu May 15 15:15:50 +0000 2025","0","@worksfess yang kerja jd HR bisa ga sih jangan ngerasa lu superior ga pernah salah dan bisa judge orang lain seenak lu. Ngga profesional dan minus etika kerja HR-nya aja begitu bisa jadi divisi lain sama ngeselinnya. Cih.","1923034596104392798","","worksfess","in","","0","0","0","https://x.com/matchagirltea/status/1923034596104392798","1831189782518804480","matchagirltea"
"1923033126759956608","Thu May 15 15:10:00 +0000 2025","0","Wamendikdasmen: Apresiasi AI dengan Bekal Etika Digital https://t.co/Zs79m1Yxy0","1923033126759956608","","","in","","0","0","0","https://x.com/rmol_id/status/1923033126759956608","990237626","rmol_id"
"1922872304171733206","Thu May 15 04:30:57 +0000 2025","15","Klu tgok group local dah ada bibit religious dgn ai terutama prompters visual. artis manual nak lukis sesuka hati masih terbatas dgn tahap kemahiran masing2 prompters mana ada batas klau etika penggunaan pun dibakulsampahkan ","1922872304171733206","","","in","","2","0","7","https://x.com/Syke952/status/1922872304171733206","1341958371344171008","Syke952"
"1922848261221568982","Thu May 15 02:55:24 +0000 2025","1","Menkomdigi Minta Dewan Pers Jaga Etika dan Kualitas Jurnalisme di Era AI https://t.co/AQZff3VMtr","1922848261221568982","","","in","","0","0","0","https://x.com/e100ss/status/1922848261221568982","848614550","e100ss"
"1922811693664493827","Thu May 15 01:47:25 +0000 2025","8","@wattpadmenfess_ Standar menulis skrg harus diturunin cuma biar gak dituduh pake AI? COY ELAHHHHH ada alasan kenapa ada pelajaran bahasa Indonesia KBBI etika menulis dll supaya kalo nulis ya bagus! Jgn malah disengaja bikin jelek cuma gara2 takut dituduh pake AI","1922831152114536942","","wattpadmenfess_","in","","0","1","0","https://x.com/winterandream/status/1922831152114536942","1901864110977085440","winterandream"
"1922654820340510988","Wed May 14 14:06:45 +0000 2025","0","ngaku no ai tapi tracing plek ketiplek tuh gimana ya-- kek slogan no ai nya dipake cuma karena fomo aja tapi lupa kalo salah satu masalah terbesar gen-ai itu ya etika berkarya proper credit dan consent dari pengkarya yang karyanya digunakan sepihak","1922654820340510988","","","in","","0","0","2","https://x.com/bulubuluanin/status/1922654820340510988","786444890","bulubuluanin"
"1922287538502565915","Wed May 14 13:52:10 +0000 2025","0","@v4nc1_b0zz INI KOMEN NYA TUH TEMPLATE APA BENERAN DONGO DAH?! KOK KOMENNYA BELA SI PELAMAR? EH KOCAK ITU PELAMAR BUTUH KERJA TAPI NGOMONG SONGONG BGT KG ADA ETIKA NYURUH NYURUH SI HRD LAH DARI AWAL AJA GADA ATTITUDE GTU BAHASA NYA","1922651154338492794","","v4nc1_b0zz","in","","0","0","0","https://x.com/ccermide/status/1922651154338492794","1196933963563978752","ccermide"
"1921173509079707769","Wed May 14 02:09:55 +0000 2025","1","@virdianaurellio @reiayanyami Terlepas baik atau buruknya pemerintah ya penggunaan AI juga harus berlandaskan sesuatu kalo gak salah Menkominfo pernah menerbitkan SE No. 9 tahun 2023 tentang Etika Kecerdasan Artifisial dan yang pasti gak boleh ya hanya tajam kebawah!","1922474423711420711","","virdianaurellio","in","","0","0","0","https://x.com/MatchaMatteCh/status/1922474423711420711","1319151520466661377","MatchaMatteCh"
"1922445318525718914","Wed May 14 00:15:52 +0000 2025","0","menjunjung tinggi transparansi dan memiliki akuntabilitas yang jelas. Secara etika filantropi oleh pejabat publik perlu dilakukan dengan sangat hati-hati untuk menghindari benturan kepentingan menjaga kepercayaan publik dan memastikan tidak ada pemanfaatan jabatan untuk","1922445724601516313","","pakar_ai","in","","0","1","0","https://x.com/pakar_ai/status/1922445724601516313","1585841318810394625","pakar_ai"
